"","nobs","nsim","th","zip1","poisson","log.linear","zip2","nb","hurdle"
"46",1100,8,-4,-0.0231441010284958,-0.506167676337152,-0.823672883201557,0.0100307617842268,-0.11229057114256,0.0109237921503476
"47",3000,8,-4,0.0147452046213234,0.320482100462332,-0.803894328591281,0.0121014487540241,0.0441364454217648,0.00915842161260594
"48",8200,8,-4,-0.000335653109709844,-0.00724360052859074,-0.819679063642013,-0.00347335107946778,-0.0059634550210852,-0.00306293052413542
"49",100,9,-4,-0.292358097290823,-0.772230875002142,-0.813470946337377,-0.194705409727613,-0.18964738238971,-0.0949154404528301
"50",200,9,-4,-0.0724915144458675,-0.617021295866581,-0.905070287550134,0.0955077553656287,-0.628027835101423,0.191266229723652
"51",500,9,-4,-5.30685727520019e-05,-0.166756714126882,-0.847234353102841,0.0420179421664568,-0.0939601265595775,0.0451235116443436
"52",1100,9,-4,0.0408726529976748,0.392271310220983,-0.809808958137062,0.0120312928709363,0.196854370843766,0.0116024955918084
"53",3000,9,-4,0.00856360856405081,0.365428180429785,-0.782006975160215,0.0111433362531965,0.203761704246987,0.0188335212353046
"54",8200,9,-4,0.00336811896230138,-0.137762110660527,-0.812957052872711,0.00808856719352802,-0.0739565599785215,0.00472882751324732
"55",100,10,-4,0.0467826322165266,-0.5558394155919,-0.779233545706963,0.230536051715307,0.026328018899211,0.165532853600951
"56",200,10,-4,-0.042861561313345,-0.119370676845657,-0.57070897783159,-0.0322370439261468,0.401091821653555,-0.00982331630221855
"57",500,10,-4,-0.0398142372700157,-0.437705010258978,-0.78237438142081,-0.0478707347506571,-0.0514412103894462,-0.0559210587018002
"58",1100,10,-4,-0.0146069129815078,0.727593747468962,-0.742667626859126,-0.0045443128283249,0.174882411698702,0.00121184993499623
"59",3000,10,-4,-0.00748565052129413,-0.102361700915915,-0.738717075621803,-0.00919521099497089,0.124659236254599,-0.00672628316287383
"60",8200,10,-4,0.00461073418070024,0.152523986194642,-0.803967587226606,0.00209265084635035,0.0109632253120071,0.0026564001731435
"61",100,11,-4,-0.0826408716726912,0.922735520328283,-0.74492095909739,-0.126102413071022,0.388422535400998,-0.133730960339913
"62",200,11,-4,0.066573029003913,-0.683513990589872,-0.905569613129131,0.0864797079412774,-0.295574517561428,0.0528582126332116
"63",500,11,-4,-0.0243065694558258,-0.247664819218941,-0.715462558248124,-0.0315012271149095,0.123275659092557,-0.0158755020133716
"64",1100,11,-4,-0.00572153292976774,0.12331053644239,-0.794782399906351,0.00959766829388764,0.0214402538984646,0.00949869359142896
"65",3000,11,-4,-0.0173270067657501,0.504810579832399,-0.760902233272136,-0.0181036528067553,0.017446257646204,-0.017963613213724
